tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
NCS000ETT17000008,2017-06-19,"INVITATION TO TENDER FOR CLEANING SERVICES FOR NATIONAL COUNCIL OF SOCIAL SERVICE FACILITIES LOCATED AT 170 GHIM MOH ROAD AND 298 TIONG BAHRU ROAD (ADMIN,CHOON PING)",National Council of Social Service,111600,Awarded to Suppliers,ABSOLUTE MAINTENANCE SERVICES PTE LTD
NCS000ETT17000009,2017-05-18,INVITATION TO TENDER FOR SOCIAL SERVICE SUMMIT & NCSS ANNUAL GENERAL MEETING 2017 (Gillian),National Council of Social Service,89995,Awarded to Suppliers,TWIST MEDIA PTE. LTD.
NCS000ETT17000010,2017-06-21,"INVITATION TO TENDER FOR CONCEPTUALISATION, PRODUCTION AND MANAGEMENT OF SHARITY CARE & SHARE INTERACTIVE MUSICAL AND TOURING SHOWS (Cheryl Liew)",National Council of Social Service,83800,Awarded to Suppliers,ARTISTIC EXPRESSIONS PRIVATE LIMITED
NCS000ETT17000011,2017-06-23,:INVITATION TO TENDER FOR EVENT MANAGEMENT SERVICES FOR COMMUNITY CHEST HEARTSTRINGS WALK 2017 @ MARINA BAY (Tien Sin),National Council of Social Service,185412,Awarded to Suppliers,OYEZ COMMUNICATIONS PTE. LTD.
NCS000ETT17000012,2017-09-18,FOR THE PROVISION OF AGILE APPLICATION DEVELOPMENT AND MAINTENANCE SERVICES (Cheong Kok Wai),National Council of Social Service,265000,Awarded to Suppliers,LDR PTE. LTD.
NCS000ETT17000013,2017-09-25,INVITATION TO TENDER (ITT) FOR CONSULTANCY SERVICES ON PEER ROLES INTEGRATION (Marceline Chin),National Council of Social Service,309000,Awarded to Suppliers,CAPELLE CONSULTING PTE. LTD.
NCS000ETT17000013,2017-09-25,INVITATION TO TENDER (ITT) FOR CONSULTANCY SERVICES ON PEER ROLES INTEGRATION (Marceline Chin),National Council of Social Service,523593,Awarded to Suppliers,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST
NCS000ETT17000014,2017-09-25,"INVITATION TO TENDER FOR UNLOCKING OF SERVICE-BASED VOLUNTEERING OPPORTUNITIES THROUGH REDESIGN, ENHANCEMENT AND REPLICATION OF VOLUNTEER ROLES (Esther Lau)",National Council of Social Service,211667,Awarded to Suppliers,EMPACT PTE. LTD.
NCS000ETT17000014,2017-09-25,"INVITATION TO TENDER FOR UNLOCKING OF SERVICE-BASED VOLUNTEERING OPPORTUNITIES THROUGH REDESIGN, ENHANCEMENT AND REPLICATION OF VOLUNTEER ROLES (Esther Lau)",National Council of Social Service,200000,Awarded to Suppliers,KPMG SERVICES PTE. LTD.
NCS000ETT17000015,2017-09-27,"INVITATION TO TENDER FOR RESEARCH FIELDWORK ON QUALITY OF LIFE STUDY OF CHILDREN, YOUTHS AND CAREGIVERS (II) (Marcus)",National Council of Social Service,398380,Awarded to Suppliers,ML Research Consultants Pte Ltd
NCS000ETT17000016,2017-09-27,"INVITATION TO TENDER FOR RESEARCH FIELDWORK ON QUALITY OF LIFE STUDY OF CHILDREN, YOUTHS AND CAREGIVERS (III) (Marcus)",National Council of Social Service,353040,Awarded to Suppliers,ML Research Consultants Pte Ltd
NCS000ETT17000017,2017-09-28,"INVITATION TO TENDER FOR APPLICATION MAINTENANCE AND SUPPORT OF NCSS ICT SYSTEMS (ICS, Anthony)",National Council of Social Service,1013901,Awarded to Suppliers,DXC TECHNOLOGY SINGAPORE PTE. LTD.
NCS000ETT17000018,2017-09-25,INVITATION TO TENDER FOR HIGH-NET-WORTH DONORS MARKETING CAMPAIGN (Swee Ching),National Council of Social Service,199800,Awarded to Suppliers,GERMS DIGITAL PTE. LTD.
NCS000ETT17000019,2017-10-25,INVITATION TO TENDER FOR PROJECT MANAGEMENT SERVICES TO ORGANISE THE ISTANA OPEN HOUSE FOR PRESIDENTS CHALLENGE VOLUNTEER DRIVE 2018 (Ivy Fong),National Council of Social Service,144758.25,Awarded to Suppliers,ADRENALIN GROUP PTE. LTD.
